provider_name,scheme_name,account_type,option_name,option_type,management_fee_pct,indirect_cost_ratio,performance_fee,transactional_cost,risk_label,risk_band,performance_1yr,performance_3yr,performance_5yr,performance_10yr,asset_allocation_json,source_url,scraped_at
HUB24,HUB24 Invest - CORE Menu,Wrap,HF Strategic 85 Portfolio,Multi Sector,Tiered,0.88,0.05,0.05,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Infinity Balanced Portfolio B,Multi Sector Balanced,0.36,0.597,0.279,0.052,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Infinity Blended Balanced Portfolio B,Multi Sector Balanced,0.442,0.619,0.261,0.066,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Infinity Growth Portfolio B,Multi Sector Growth,0.36,0.667,0.355,0.058,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Infinity High Growth Portfolio B,Multi Sector High Growth,0.36,0.665,0.376,0.074,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Infinity Index Plus Portfolio B,Multi Sector Balanced,0.36,0.347,0.069,0.028,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Infinity Moderate Portfolio B,Multi Sector Moderately Conservative,0.36,0.555,0.153,0.043,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Active Balanced Portfolio,Multi Sector Balanced,0.359,0.584,0.027,0.075,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Active Conservative Portfolio,Multi Sector Conservative,0.359,0.405,0.021,0.041,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Active Growth Portfolio,Multi Sector Growth,0.359,0.667,0.027,0.094,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Active High Growth Portfolio,Multi Sector Growth,0.359,0.678,0.028,0.101,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Active Moderately Conservative Portfolio,Multi Sector Moderately Conservative,0.359,0.491,0.024,0.059,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Aspiration Portfolio - Flagship,Multi Sector High Growth,0.359,0.647,0.029,0.098,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Aspiration Portfolio - Fundamental,Multi Sector High Growth,0.359,0.351,0.001,0.043,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Lifestyle Preservation Portfolio - Flagship,Multi Sector Moderately Conservative,0.359,0.43,0.009,0.039,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Lifestyle Preservation Portfolio - Fundamental,Multi Sector Conservative,0.359,0.278,0.001,0.028,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
HUB24,HUB24 Invest - CORE Menu,Wrap,Innova Sustainable Future Balanced Portfolio,Multi Sector Balanced,0.359,0.648,0.036,0.064,,,,,,,,https://www.hub24.com.au/product-documents/hub24-invest-documents/,2026-03-26
